Year,Year ending,Police Region,Local Government Area,Incidents Recorded,"Rate per 100,000 population"
2020,September,1 North West Metro, Banyule,"6,909","5,219.4"
2020,September,1 North West Metro, Brimbank,"16,160","7,687.9"
2020,September,1 North West Metro, Darebin,"12,087","7,290.1"
2020,September,1 North West Metro, Hobsons Bay,"4,666","4,732.5"
2020,September,1 North West Metro, Hume,"16,682","6,910.0"
2020,September,1 North West Metro, Maribyrnong,"7,462","7,801.6"
2020,September,1 North West Metro, Melbourne,"27,407","14,617.1"
2020,September,1 North West Metro, Melton,"10,301","5,989.3"
2020,September,1 North West Metro, Moonee Valley,"6,766","5,124.1"
2020,September,1 North West Metro, Moreland,"11,263","5,968.5"
2020,September,1 North West Metro, Nillumbik,"1,610","2,470.3"
2020,September,1 North West Metro, Whittlesea,"12,342","5,208.4"
2020,September,1 North West Metro, Wyndham,"13,908","4,906.3"
2020,September,1 North West Metro, Yarra,"11,419","11,070.7"
2020,September,1 North West Metro,Total,"158,982","6,873.3"
2020,September,2 Eastern, Alpine,445,"3,460.8"
2020,September,2 Eastern, Bass Coast,"1,918","5,174.2"
2020,September,2 Eastern, Baw Baw,"3,655","6,685.3"
2020,September,2 Eastern, Benalla,985,"6,999.5"
2020,September,2 Eastern, Boroondara,"6,541","3,546.8"
2020,September,2 Eastern, East Gippsland,"3,699","7,740.9"
2020,September,2 Eastern, Greater Shepparton,"6,102","9,125.0"
2020,September,2 Eastern, Indigo,437,"2,596.1"
2020,September,2 Eastern, Knox,"9,032","5,465.1"
2020,September,2 Eastern, Latrobe,"9,934","13,086.5"
2020,September,2 Eastern, Manningham,"3,539","2,750.4"
2020,September,2 Eastern, Mansfield,355,"3,819.8"
2020,September,2 Eastern, Maroondah,"5,813","4,856.5"
2020,September,2 Eastern, Mitchell,"3,288","6,860.4"
2020,September,2 Eastern, Moira,"1,693","5,641.6"
2020,September,2 Eastern, Monash,"9,796","4,812.9"
2020,September,2 Eastern, Murrindindi,658,"4,467.2"
2020,September,2 Eastern, South Gippsland,"1,320","4,382.4"
2020,September,2 Eastern, Strathbogie,467,"4,292.1"
2020,September,2 Eastern, Towong,164,"2,710.6"
2020,September,2 Eastern, Wangaratta,"1,761","5,998.1"
2020,September,2 Eastern, Wellington,"3,331","7,469.8"
2020,September,2 Eastern, Whitehorse,"7,271","4,042.5"
2020,September,2 Eastern, Wodonga,"2,691","6,265.9"
2020,September,2 Eastern, Yarra Ranges,"6,391","3,984.3"
2020,September,2 Eastern,Total,"91,286","5,265.0"
2020,September,3 Southern Metro, Bayside,"4,204","3,903.3"
2020,September,3 Southern Metro, Cardinia,"5,869","5,008.7"
2020,September,3 Southern Metro, Casey,"17,751","4,860.7"
2020,September,3 Southern Metro, Frankston,"11,344","7,891.3"
2020,September,3 Southern Metro, Glen Eira,"6,454","4,100.6"
2020,September,3 Southern Metro, Greater Dandenong,"15,268","8,982.1"
2020,September,3 Southern Metro, Kingston,"8,927","5,345.5"
2020,September,3 Southern Metro, Mornington Peninsula,"8,546","5,052.5"
2020,September,3 Southern Metro, Port Phillip,"10,395","8,830.2"
2020,September,3 Southern Metro, Stonnington,"9,494","7,984.2"
2020,September,3 Southern Metro,Total,"98,252","6,013.1"
2020,September,4 Western, Ararat,"1,003","8,455.8"
2020,September,4 Western, Ballarat,"8,028","7,201.8"
2020,September,4 Western, Buloke,312,"5,128.1"
2020,September,4 Western, Campaspe,"2,579","6,852.4"
2020,September,4 Western, Central Goldfields,846,"6,396.2"
2020,September,4 Western, Colac-Otway,"1,358","6,289.6"
2020,September,4 Western, Corangamite,643,"4,038.5"
2020,September,4 Western, Gannawarra,657,"6,285.7"
2020,September,4 Western, Glenelg,"1,104","5,623.5"
2020,September,4 Western, Golden Plains,467,"1,926.7"
2020,September,4 Western, Greater Bendigo,"8,077","6,731.4"
2020,September,4 Western, Greater Geelong,"17,059","6,443.1"
2020,September,4 Western, Hepburn,642,"3,996.0"
2020,September,4 Western, Hindmarsh,287,"5,188.8"
2020,September,4 Western, Horsham,"1,489","7,470.9"
2020,September,4 Western, Loddon,379,"5,059.8"
2020,September,4 Western, Macedon Ranges,"1,832","3,589.5"
2020,September,4 Western, Mildura,"5,048","9,013.1"
2020,September,4 Western, Moorabool,"1,977","5,495.3"
2020,September,4 Western, Mount Alexander,809,"4,061.8"
2020,September,4 Western, Moyne,527,"3,091.9"
2020,September,4 Western, Northern Grampians,781,"6,894.5"
2020,September,4 Western, Pyrenees,387,"5,174.3"
2020,September,4 Western, Queenscliffe,104,"3,521.5"
2020,September,4 Western, Southern Grampians,866,"5,385.4"
2020,September,4 Western, Surf Coast,"1,127","3,287.2"
2020,September,4 Western, Swan Hill,"1,840","8,938.4"
2020,September,4 Western, Warrnambool,"2,395","6,768.6"
2020,September,4 Western, West Wimmera,125,"3,289.1"
2020,September,4 Western, Yarriambiack,338,"5,130.0"
2020,September,4 Western,Total,"63,086","6,158.6"
2020,September,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,"1,326",
2020,September,Justice Institutions and Immigration Facilities,Total,"1,326",
2020,September,Unincorporated Vic, Unincorporated Vic,60,
2020,September,Unincorporated Vic,Total,60,
2019,September,1 North West Metro, Banyule,"7,084","5,381.7"
2019,September,1 North West Metro, Brimbank,"14,513","6,926.7"
2019,September,1 North West Metro, Darebin,"11,418","6,954.4"
2019,September,1 North West Metro, Hobsons Bay,"4,994","5,108.9"
2019,September,1 North West Metro, Hume,"15,708","6,728.0"
2019,September,1 North West Metro, Maribyrnong,"6,725","7,196.5"
2019,September,1 North West Metro, Melbourne,"26,794","14,972.5"
2019,September,1 North West Metro, Melton,"8,564","5,193.6"
2019,September,1 North West Metro, Moonee Valley,"6,351","4,874.4"
2019,September,1 North West Metro, Moreland,"10,754","5,789.0"
2019,September,1 North West Metro, Nillumbik,"1,696","2,605.5"
2019,September,1 North West Metro, Whittlesea,"12,010","5,216.3"
2019,September,1 North West Metro, Wyndham,"12,537","4,635.0"
2019,September,1 North West Metro, Yarra,"10,950","10,788.7"
2019,September,1 North West Metro,Total,"150,098","6,649.6"
2019,September,2 Eastern, Alpine,401,"3,129.4"
2019,September,2 Eastern, Bass Coast,"1,894","5,214.8"
2019,September,2 Eastern, Baw Baw,"3,579","6,702.7"
2019,September,2 Eastern, Benalla,982,"6,995.8"
2019,September,2 Eastern, Boroondara,"5,876","3,207.4"
2019,September,2 Eastern, East Gippsland,"3,409","7,204.8"
2019,September,2 Eastern, Greater Shepparton,"6,501","9,776.2"
2019,September,2 Eastern, Indigo,417,"2,496.9"
2019,September,2 Eastern, Knox,"8,420","5,117.4"
2019,September,2 Eastern, Latrobe,"10,040","13,287.3"
2019,September,2 Eastern, Manningham,"3,691","2,893.2"
2019,September,2 Eastern, Mansfield,337,"3,672.6"
2019,September,2 Eastern, Maroondah,"6,203","5,232.0"
2019,September,2 Eastern, Mitchell,"3,113","6,755.3"
2019,September,2 Eastern, Moira,"1,916","6,402.7"
2019,September,2 Eastern, Monash,"8,686","4,282.0"
2019,September,2 Eastern, Murrindindi,601,"4,124.9"
2019,September,2 Eastern, South Gippsland,"1,211","4,048.3"
2019,September,2 Eastern, Strathbogie,448,"4,155.5"
2019,September,2 Eastern, Towong,147,"2,433.8"
2019,September,2 Eastern, Wangaratta,"1,705","5,841.6"
2019,September,2 Eastern, Wellington,"3,142","7,079.8"
2019,September,2 Eastern, Whitehorse,"7,050","3,944.3"
2019,September,2 Eastern, Wodonga,"2,685","6,380.2"
2019,September,2 Eastern, Yarra Ranges,"6,115","3,834.8"
2019,September,2 Eastern,Total,"88,569","5,150.3"
2019,September,3 Southern Metro, Bayside,"3,918","3,666.4"
2019,September,3 Southern Metro, Cardinia,"4,998","4,456.2"
