Year,Year ending,Local Government Area,Location Division,Location Subdivision,Location Group,Incidents Recorded
2020,September,Alpine,1 Residential,11 Dwelling - private,111 Flat/Unit/Apartment,3
2020,September,Alpine,1 Residential,11 Dwelling - private,112 House,110
2020,September,Alpine,1 Residential,11 Dwelling - private,114 Caravan/Mobile Home,5
2020,September,Alpine,1 Residential,11 Dwelling - private,116 Ministry Of Housing,1
2020,September,Alpine,1 Residential,11 Dwelling - private,117 Farm House,4
2020,September,Alpine,1 Residential,12 Dwelling  - non-private,122 Holiday Home,5
2020,September,Alpine,1 Residential,12 Dwelling  - non-private,123 Guest House,4
2020,September,Alpine,1 Residential,12 Dwelling  - non-private,124 Nursing Home,1
2020,September,Alpine,1 Residential,12 Dwelling  - non-private,125 Hotel/Motel,5
2020,September,Alpine,1 Residential,12 Dwelling  - non-private,126 Other Dwelling,2
2020,September,Alpine,1 Residential,13 Grounds/surrounding land,1310 Farm Building,1
2020,September,Alpine,1 Residential,13 Grounds/surrounding land,132 Backyard,5
2020,September,Alpine,1 Residential,13 Grounds/surrounding land,133 Frontyard,8
2020,September,Alpine,1 Residential,13 Grounds/surrounding land,134 Garage,5
2020,September,Alpine,1 Residential,13 Grounds/surrounding land,135 Shed,4
2020,September,Alpine,1 Residential,13 Grounds/surrounding land,137 Other Residential (nec),2
2020,September,Alpine,1 Residential,13 Grounds/surrounding land,138 Driveway/Carport,27
2020,September,Alpine,2 Community,21 Education,211 School,6
2020,September,Alpine,2 Community,21 Education,212 School Grounds,3
2020,September,Alpine,2 Community,22 Health,221 Hospital,1
2020,September,Alpine,2 Community,22 Health,222 Medical Centre,1
2020,September,Alpine,2 Community,23 Religious,231 Church,2
2020,September,Alpine,2 Community,24 Public Transport,246 Depot/Terminal,1
2020,September,Alpine,2 Community,25 Other Transport,255 Carpark (Single Level),3
2020,September,Alpine,2 Community,25 Other Transport,257 Other Transport Type/Area,1
2020,September,Alpine,2 Community,26 Justice,261 Police Station,2
2020,September,Alpine,2 Community,26 Justice,262 Court,9
2020,September,Alpine,2 Community,27 Open Space,271 Parkland/Reserve,5
2020,September,Alpine,2 Community,27 Open Space,272 Rural,12
2020,September,Alpine,2 Community,27 Open Space,275 Other Open Space,3
2020,September,Alpine,2 Community,28 Street/footpath,281 Street/Lane/Footpath,103
2020,September,Alpine,2 Community,29 Other community location,294 Car Wash,1
2020,September,Alpine,3 Other,31 Admin/professional,311 Business Office,2
2020,September,Alpine,3 Other,33 Retail,3311 Restaurant/Fastfood,7
2020,September,Alpine,3 Other,33 Retail,3312 Other Retail,11
2020,September,Alpine,3 Other,33 Retail,332 Service Station,5
2020,September,Alpine,3 Other,33 Retail,334 2nd Hand Dealer,1
2020,September,Alpine,3 Other,33 Retail,335 Supermarket,13
2020,September,Alpine,3 Other,33 Retail,336 Department Store,2
2020,September,Alpine,3 Other,33 Retail,338 Car Sales Yard,2
2020,September,Alpine,3 Other,36 Manufacturing,361 Factory,1
2020,September,Alpine,3 Other,36 Manufacturing,362 Any Manufacturing,1
2020,September,Alpine,3 Other,37 Agricultural,371 Farmland/Agricultural,9
2020,September,Alpine,3 Other,37 Agricultural,373 Other Agricultural,6
2020,September,Alpine,3 Other,38 Recreational,381 Licenced Premises,5
2020,September,Alpine,3 Other,38 Recreational,384 Sport Area/Facility,2
2020,September,Alpine,3 Other,38 Recreational,386 Other Rec./Sports,5
2020,September,Alpine,3 Other,39 Other location,392 Other Location (Not Elsewhere),11
2020,September,Ararat,1 Residential,11 Dwelling - private,111 Flat/Unit/Apartment,31
2020,September,Ararat,1 Residential,11 Dwelling - private,112 House,300
2020,September,Ararat,1 Residential,11 Dwelling - private,113 Bungalow,7
2020,September,Ararat,1 Residential,11 Dwelling - private,114 Caravan/Mobile Home,1
2020,September,Ararat,1 Residential,11 Dwelling - private,116 Ministry Of Housing,3
2020,September,Ararat,1 Residential,11 Dwelling - private,117 Farm House,10
