Year,Year ending,Local Government Area,Charge Status,Incidents Recorded
2020,September,Alpine,Charges laid,188
2020,September,Alpine,No charges laid,133
2020,September,Alpine,Unsolved,124
2020,September,Ararat,Charges laid,464
2020,September,Ararat,No charges laid,225
2020,September,Ararat,Unsolved,314
2020,September,Ballarat,Charges laid,"2,871"
2020,September,Ballarat,No charges laid,"1,188"
2020,September,Ballarat,Unsolved,"3,969"
2020,September,Banyule,Charges laid,"2,773"
2020,September,Banyule,No charges laid,"1,291"
2020,September,Banyule,Unsolved,"2,845"
2020,September,Bass Coast,Charges laid,770
2020,September,Bass Coast,No charges laid,460
2020,September,Bass Coast,Unsolved,688
2020,September,Baw Baw,Charges laid,"1,478"
2020,September,Baw Baw,No charges laid,877
2020,September,Baw Baw,Unsolved,"1,300"
2020,September,Bayside,Charges laid,974
2020,September,Bayside,No charges laid,787
2020,September,Bayside,Unsolved,"2,443"
2020,September,Benalla,Charges laid,397
2020,September,Benalla,No charges laid,241
2020,September,Benalla,Unsolved,347
2020,September,Boroondara,Charges laid,"1,497"
2020,September,Boroondara,No charges laid,964
2020,September,Boroondara,Unsolved,"4,080"
2020,September,Brimbank,Charges laid,"5,590"
2020,September,Brimbank,No charges laid,"3,170"
2020,September,Brimbank,Unsolved,"7,400"
2020,September,Buloke,Charges laid,103
2020,September,Buloke,No charges laid,80
2020,September,Buloke,Unsolved,129
2020,September,Campaspe,Charges laid,"1,116"
2020,September,Campaspe,No charges laid,543
2020,September,Campaspe,Unsolved,920
2020,September,Cardinia,Charges laid,"1,871"
2020,September,Cardinia,No charges laid,"1,621"
2020,September,Cardinia,Unsolved,"2,377"
2020,September,Casey,Charges laid,"5,281"
2020,September,Casey,No charges laid,"4,561"
2020,September,Casey,Unsolved,"7,909"
2020,September,Central Goldfields,Charges laid,375
2020,September,Central Goldfields,No charges laid,221
2020,September,Central Goldfields,Unsolved,250
2020,September,Colac-Otway,Charges laid,486
2020,September,Colac-Otway,No charges laid,423
2020,September,Colac-Otway,Unsolved,449
2020,September,Corangamite,Charges laid,240
2020,September,Corangamite,No charges laid,179
2020,September,Corangamite,Unsolved,224
2020,September,Darebin,Charges laid,"3,771"
2020,September,Darebin,No charges laid,"2,254"
2020,September,Darebin,Unsolved,"6,062"
2020,September,East Gippsland,Charges laid,"1,572"
2020,September,East Gippsland,No charges laid,944
2020,September,East Gippsland,Unsolved,"1,183"
2020,September,Frankston,Charges laid,"4,635"
2020,September,Frankston,No charges laid,"2,869"
2020,September,Frankston,Unsolved,"3,840"
2020,September,Gannawarra,Charges laid,284
2020,September,Gannawarra,No charges laid,198
2020,September,Gannawarra,Unsolved,175
2020,September,Glen Eira,Charges laid,"1,446"
2020,September,Glen Eira,No charges laid,"1,287"
2020,September,Glen Eira,Unsolved,"3,721"
2020,September,Glenelg,Charges laid,539
2020,September,Glenelg,No charges laid,262
2020,September,Glenelg,Unsolved,303
2020,September,Golden Plains,Charges laid,119
2020,September,Golden Plains,No charges laid,73
2020,September,Golden Plains,Unsolved,275
2020,September,Greater Bendigo,Charges laid,"3,416"
2020,September,Greater Bendigo,No charges laid,"1,523"
2020,September,Greater Bendigo,Unsolved,"3,138"
2020,September,Greater Dandenong,Charges laid,"4,899"
2020,September,Greater Dandenong,No charges laid,"4,119"
2020,September,Greater Dandenong,Unsolved,"6,250"
2020,September,Greater Geelong,Charges laid,"6,298"
2020,September,Greater Geelong,No charges laid,"2,881"
2020,September,Greater Geelong,Unsolved,"7,880"
2020,September,Greater Shepparton,Charges laid,"2,614"
2020,September,Greater Shepparton,No charges laid,"1,266"
2020,September,Greater Shepparton,Unsolved,"2,222"
2020,September,Hepburn,Charges laid,194
2020,September,Hepburn,No charges laid,113
2020,September,Hepburn,Unsolved,335
2020,September,Hindmarsh,Charges laid,119
2020,September,Hindmarsh,No charges laid,55
2020,September,Hindmarsh,Unsolved,113
2020,September,Hobsons Bay,Charges laid,"1,471"
2020,September,Hobsons Bay,No charges laid,"1,084"
2020,September,Hobsons Bay,Unsolved,"2,111"
2020,September,Horsham,Charges laid,770
2020,September,Horsham,No charges laid,379
2020,September,Horsham,Unsolved,340
2020,September,Hume,Charges laid,"5,556"
2020,September,Hume,No charges laid,"4,508"
2020,September,Hume,Unsolved,"6,618"
2020,September,Indigo,Charges laid,133
2020,September,Indigo,No charges laid,91
2020,September,Indigo,Unsolved,213
2020,September,Kingston,Charges laid,"2,826"
2020,September,Kingston,No charges laid,"1,877"
2020,September,Kingston,Unsolved,"4,224"
2020,September,Knox,Charges laid,"2,945"
2020,September,Knox,No charges laid,"1,858"
2020,September,Knox,Unsolved,"4,229"
2020,September,Latrobe,Charges laid,"4,399"
2020,September,Latrobe,No charges laid,"2,073"
2020,September,Latrobe,Unsolved,"3,462"
2020,September,Loddon,Charges laid,162
2020,September,Loddon,No charges laid,88
2020,September,Loddon,Unsolved,129
2020,September,Macedon Ranges,Charges laid,759
2020,September,Macedon Ranges,No charges laid,441
2020,September,Macedon Ranges,Unsolved,632
2020,September,Manningham,Charges laid,"1,014"
2020,September,Manningham,No charges laid,677
2020,September,Manningham,Unsolved,"1,848"
2020,September,Mansfield,Charges laid,140
2020,September,Mansfield,No charges laid,104
2020,September,Mansfield,Unsolved,111
2020,September,Maribyrnong,Charges laid,"2,121"
2020,September,Maribyrnong,No charges laid,"1,326"
2020,September,Maribyrnong,Unsolved,"4,015"
2020,September,Maroondah,Charges laid,"2,293"
2020,September,Maroondah,No charges laid,"1,263"
2020,September,Maroondah,Unsolved,"2,257"
2020,September,Melbourne,Charges laid,"8,370"
2020,September,Melbourne,No charges laid,"7,923"
2020,September,Melbourne,Unsolved,"11,114"
2020,September,Melton,Charges laid,"3,331"
2020,September,Melton,No charges laid,"2,015"
2020,September,Melton,Unsolved,"4,955"
2020,September,Mildura,Charges laid,"2,378"
2020,September,Mildura,No charges laid,"1,081"
2020,September,Mildura,Unsolved,"1,589"
2020,September,Mitchell,Charges laid,"1,315"
2020,September,Mitchell,No charges laid,895
2020,September,Mitchell,Unsolved,"1,078"
2020,September,Moira,Charges laid,723
2020,September,Moira,No charges laid,335
2020,September,Moira,Unsolved,635
2020,September,Monash,Charges laid,"2,629"
2020,September,Monash,No charges laid,"2,004"
2020,September,Monash,Unsolved,"5,163"
2020,September,Moonee Valley,Charges laid,"1,858"
2020,September,Moonee Valley,No charges laid,"1,612"
2020,September,Moonee Valley,Unsolved,"3,296"
2020,September,Moorabool,Charges laid,583
2020,September,Moorabool,No charges laid,535
2020,September,Moorabool,Unsolved,859
2020,September,Moreland,Charges laid,"2,916"
2020,September,Moreland,No charges laid,"2,079"
2020,September,Moreland,Unsolved,"6,268"
2020,September,Mornington Peninsula,Charges laid,"2,876"
2020,September,Mornington Peninsula,No charges laid,"2,365"
2020,September,Mornington Peninsula,Unsolved,"3,305"
2020,September,Mount Alexander,Charges laid,371
2020,September,Mount Alexander,No charges laid,141
2020,September,Mount Alexander,Unsolved,297
2020,September,Moyne,Charges laid,208
2020,September,Moyne,No charges laid,130
2020,September,Moyne,Unsolved,189
2020,September,Murrindindi,Charges laid,178
2020,September,Murrindindi,No charges laid,207
2020,September,Murrindindi,Unsolved,273
2020,September,Nillumbik,Charges laid,529
2020,September,Nillumbik,No charges laid,368
2020,September,Nillumbik,Unsolved,713
2020,September,Northern Grampians,Charges laid,314
2020,September,Northern Grampians,No charges laid,251
2020,September,Northern Grampians,Unsolved,216
2020,September,Port Phillip,Charges laid,"2,799"
2020,September,Port Phillip,No charges laid,"2,231"
2020,September,Port Phillip,Unsolved,"5,365"
2020,September,Pyrenees,Charges laid,128
2020,September,Pyrenees,No charges laid,57
2020,September,Pyrenees,Unsolved,202
2020,September,Queenscliffe,Charges laid,12
2020,September,Queenscliffe,No charges laid,17
2020,September,Queenscliffe,Unsolved,75
2020,September,South Gippsland,Charges laid,565
2020,September,South Gippsland,No charges laid,294
2020,September,South Gippsland,Unsolved,461
