,suburb,rooms,type,price,bathroom,car,month,year,total_2020_incidents
0,Abbotsford,2,h,1480000.0,1.0,1.0,12,2016,1286
1,Abbotsford,2,h,1035000.0,1.0,0.0,02,2016,1286
2,Abbotsford,3,h,1465000.0,2.0,0.0,03,2017,1286
3,Abbotsford,3,h,850000.0,2.0,1.0,03,2017,1286
4,Abbotsford,4,h,1600000.0,1.0,2.0,06,2016,1286
5,Abbotsford,2,h,941000.0,1.0,0.0,05,2016,1286
6,Abbotsford,3,h,1876000.0,2.0,0.0,05,2016,1286
7,Abbotsford,2,h,1636000.0,1.0,2.0,10,2016,1286
8,Abbotsford,1,u,300000.0,1.0,1.0,10,2016,1286
9,Abbotsford,2,h,1097000.0,1.0,2.0,10,2016,1286
10,Abbotsford,2,u,700000.0,2.0,1.0,11,2016,1286
11,Abbotsford,3,h,1350000.0,2.0,2.0,11,2016,1286
12,Abbotsford,2,u,750000.0,2.0,1.0,11,2016,1286
13,Abbotsford,2,h,1172500.0,1.0,1.0,08,2016,1286
14,Abbotsford,1,u,441000.0,1.0,1.0,05,2016,1286
15,Abbotsford,2,h,1310000.0,1.0,2.0,10,2016,1286
16,Abbotsford,3,h,1200000.0,2.0,1.0,07,2016,1286
17,Abbotsford,3,h,1176500.0,1.0,1.0,07,2016,1286
18,Abbotsford,3,h,955000.0,1.0,0.0,09,2016,1286
19,Abbotsford,2,h,890000.0,1.0,1.0,09,2016,1286
20,Abbotsford,4,h,1330000.0,2.0,2.0,03,2017,1286
21,Abbotsford,3,t,900000.0,2.0,2.0,03,2017,1286
22,Abbotsford,3,u,1090000.0,2.0,2.0,03,2017,1286
23,Abbotsford,2,u,500000.0,1.0,1.0,06,2016,1286
24,Abbotsford,2,h,1100000.0,2.0,1.0,06,2016,1286
25,Abbotsford,2,h,1315000.0,1.0,0.0,11,2016,1286
26,Abbotsford,1,u,426000.0,1.0,1.0,08,2016,1286
27,Abbotsford,3,h,1447500.0,3.0,1.0,08,2016,1286
28,Abbotsford,1,u,457000.0,1.0,1.0,08,2016,1286
29,Abbotsford,2,h,1135000.0,2.0,2.0,08,2016,1286
30,Abbotsford,4,h,1542000.0,3.0,1.0,09,2016,1286
31,Abbotsford,3,h,1290000.0,2.0,2.0,02,2017,1286
32,Abbotsford,3,h,1290000.0,1.0,1.0,02,2017,1286
33,Abbotsford,1,u,470000.0,1.0,1.0,07,2016,1286
34,Abbotsford,2,h,1180000.0,1.0,0.0,11,2016,1286
35,Abbotsford,3,h,1195000.0,2.0,1.0,11,2016,1286
36,Abbotsford,2,h,1012500.0,1.0,0.0,05,2016,1286
37,Abbotsford,2,h,1030000.0,1.0,1.0,07,2016,1286
38,Abbotsford,3,h,1000000.0,1.0,0.0,04,2017,1286
39,Abbotsford,2,u,870000.0,2.0,1.0,05,2017,1286
40,Abbotsford,2,h,1050000.0,1.0,0.0,04,2017,1286
41,Abbotsford,2,h,1242000.0,1.0,1.0,04,2017,1286
42,Abbotsford,3,h,1165000.0,2.0,0.0,04,2017,1286
43,Abbotsford,2,u,480000.0,1.0,1.0,06,2017,1286
44,Abbotsford,2,u,750000.0,1.0,1.0,06,2017,1286
45,Abbotsford,3,h,855000.0,2.0,1.0,06,2017,1286
46,Abbotsford,2,u,505000.0,1.0,1.0,05,2017,1286
47,Abbotsford,3,h,1402500.0,1.0,1.0,05,2017,1286
48,Abbotsford,2,u,550000.0,1.0,1.0,07,2017,1286
49,Abbotsford,3,h,1635000.0,1.0,0.0,08,2017,1286
50,Abbotsford,2,h,940000.0,1.0,0.0,08,2017,1286
51,Abbotsford,3,h,1375000.0,1.0,0.0,08,2017,1286
52,Abbotsford,4,t,1525000.0,2.0,2.0,08,2017,1286
53,Abbotsford,2,h,911000.0,1.0,0.0,07,2017,1286
54,Abbotsford,2,h,1190000.0,2.0,1.0,07,2017,1286
55,Abbotsford,3,h,1830000.0,2.0,1.0,09,2017,1286
56,Abbotsford,3,h,1000000.0,1.0,2.0,08,2017,1286
57,Abbotsford,3,u,1001000.0,2.0,1.0,08,2017,1286
