Suburb,Rooms,Type,Price,Postcode,Bathroom,Car,Landsize,Year,Month,Day,Crime Average
abbotsford,2,0,1480000.0,3067.0,1.0,1.0,202.0,2016,2,12,1113.0
abbotsford,2,0,1035000.0,3067.0,1.0,0.0,156.0,2016,3,2,1113.0
abbotsford,3,0,1465000.0,3067.0,2.0,0.0,134.0,2017,3,3,1113.0
abbotsford,3,0,850000.0,3067.0,2.0,1.0,94.0,2017,3,3,1113.0
abbotsford,4,0,1600000.0,3067.0,1.0,2.0,120.0,2016,3,6,1113.0
abbotsford,2,0,941000.0,3067.0,1.0,0.0,181.0,2016,6,5,1113.0
abbotsford,3,0,1876000.0,3067.0,2.0,0.0,245.0,2016,6,5,1113.0
abbotsford,2,0,1636000.0,3067.0,1.0,2.0,256.0,2016,7,10,1113.0
abbotsford,1,1,300000.0,3067.0,1.0,1.0,0.0,2016,7,10,1113.0
abbotsford,2,0,1097000.0,3067.0,1.0,2.0,220.0,2016,7,10,1113.0
abbotsford,2,1,700000.0,3067.0,2.0,1.0,0.0,2016,11,11,1113.0
abbotsford,3,0,1350000.0,3067.0,2.0,2.0,214.0,2016,11,11,1113.0
abbotsford,2,1,750000.0,3067.0,2.0,1.0,0.0,2016,11,11,1113.0
abbotsford,2,0,1172500.0,3067.0,1.0,1.0,195.0,2016,7,13,1113.0
abbotsford,1,1,441000.0,3067.0,1.0,1.0,0.0,2016,4,14,1113.0
abbotsford,2,0,1310000.0,3067.0,1.0,2.0,238.0,2016,9,15,1113.0
abbotsford,3,0,1200000.0,3067.0,2.0,1.0,113.0,2016,6,16,1113.0
abbotsford,3,0,1176500.0,3067.0,1.0,1.0,138.0,2016,6,16,1113.0
abbotsford,3,0,955000.0,3067.0,1.0,0.0,183.0,2016,8,17,1113.0
abbotsford,2,0,890000.0,3067.0,1.0,1.0,150.0,2016,8,17,1113.0
abbotsford,4,0,1330000.0,3067.0,2.0,2.0,780.0,2017,2,18,1113.0
abbotsford,3,2,900000.0,3067.0,2.0,2.0,0.0,2017,2,18,1113.0
abbotsford,3,1,1090000.0,3067.0,2.0,2.0,4290.0,2017,2,18,1113.0
abbotsford,2,1,500000.0,3067.0,1.0,1.0,0.0,2016,5,18,1113.0
abbotsford,2,0,1100000.0,3067.0,2.0,1.0,124.0,2016,5,18,1113.0
abbotsford,2,0,1315000.0,3067.0,1.0,0.0,147.0,2016,10,19,1113.0
abbotsford,1,1,426000.0,3067.0,1.0,1.0,0.0,2016,7,22,1113.0
abbotsford,3,0,1447500.0,3067.0,3.0,1.0,166.0,2016,7,22,1113.0
abbotsford,1,1,457000.0,3067.0,1.0,1.0,0.0,2016,7,22,1113.0
abbotsford,2,0,1135000.0,3067.0,2.0,2.0,98.0,2016,7,22,1113.0
abbotsford,4,0,1542000.0,3067.0,3.0,1.0,0.0,2016,8,24,1113.0
abbotsford,3,0,1290000.0,3067.0,2.0,2.0,147.0,2017,1,25,1113.0
abbotsford,3,0,1290000.0,3067.0,1.0,1.0,168.0,2017,1,25,1113.0
abbotsford,1,1,470000.0,3067.0,1.0,1.0,0.0,2016,6,26,1113.0
abbotsford,2,0,1180000.0,3067.0,1.0,0.0,162.0,2016,10,27,1113.0
abbotsford,3,0,1195000.0,3067.0,2.0,1.0,120.0,2016,10,27,1113.0
abbotsford,2,0,1012500.0,3067.0,1.0,0.0,182.0,2016,4,28,1113.0
abbotsford,2,0,1030000.0,3067.0,1.0,1.0,172.0,2016,6,30,1113.0
airport west,3,2,840000.0,3042.0,2.0,1.0,303.0,2016,2,9,752.0
airport west,3,0,730000.0,3042.0,2.0,1.0,0.0,2016,2,12,752.0
airport west,3,0,770000.0,3042.0,2.0,1.0,0.0,2017,3,3,752.0
airport west,2,0,603000.0,3042.0,1.0,1.0,272.0,2017,3,3,752.0
airport west,3,2,700000.0,3042.0,2.0,2.0,239.0,2017,3,3,752.0
airport west,3,0,600000.0,3042.0,1.0,1.0,290.0,2017,3,3,752.0
airport west,2,1,500000.0,3042.0,1.0,1.0,168.0,2017,3,3,752.0
airport west,3,0,720000.0,3042.0,1.0,1.0,620.0,2016,5,8,752.0
airport west,4,0,785000.0,3042.0,1.0,2.0,597.0,2016,5,8,752.0
airport west,6,0,725000.0,3042.0,3.0,2.0,976.0,2016,6,5,752.0
airport west,2,2,450000.0,3042.0,1.0,1.0,110.0,2016,6,5,752.0
airport west,2,1,515000.0,3042.0,1.0,1.0,141.0,2016,6,11,752.0
airport west,2,1,530000.0,3042.0,1.0,1.0,120.0,2016,9,9,752.0
airport west,3,0,895000.0,3042.0,1.0,6.0,1063.0,2016,9,9,752.0
airport west,3,0,805000.0,3042.0,1.0,1.0,0.0,2016,9,12,752.0
airport west,3,1,752000.0,3042.0,1.0,1.0,265.0,2017,10,2,752.0
airport west,2,1,440000.0,3042.0,1.0,1.0,192.0,2016,7,13,752.0
airport west,5,0,755000.0,3042.0,2.0,2.0,596.0,2016,4,14,752.0
airport west,3,2,700000.0,3042.0,2.0,2.0,165.0,2016,9,15,752.0
airport west,3,0,830000.0,3042.0,1.0,2.0,971.0,2016,3,16,752.0
airport west,2,1,462500.0,3042.0,1.0,1.0,164.0,2016,6,16,752.0
airport west,3,0,670000.0,3042.0,2.0,2.0,657.0,2016,6,16,752.0
airport west,2,0,675000.0,3042.0,1.0,1.0,612.0,2016,6,16,752.0
airport west,3,0,1042000.0,3042.0,2.0,5.0,612.0,2016,6,16,752.0
airport west,3,0,910000.0,3042.0,1.0,1.0,775.0,2016,8,17,752.0
airport west,4,0,773000.0,3042.0,3.0,4.0,531.0,2016,8,17,752.0
airport west,3,0,810000.0,3042.0,3.0,2.0,555.0,2017,2,18,752.0
airport west,3,0,715000.0,3042.0,2.0,2.0,422.0,2017,2,18,752.0
airport west,3,0,790000.0,3042.0,1.0,3.0,614.0,2017,2,18,752.0
airport west,3,2,540000.0,3042.0,2.0,1.0,161.0,2016,5,18,752.0
airport west,3,2,825000.0,3042.0,2.0,1.0,293.0,2016,10,19,752.0
airport west,3,0,685000.0,3042.0,1.0,1.0,579.0,2016,4,22,752.0
airport west,3,0,805000.0,3042.0,1.0,1.0,623.0,2016,7,22,752.0
airport west,2,1,510000.0,3042.0,1.0,1.0,141.0,2016,7,22,752.0
airport west,3,0,612000.0,3042.0,2.0,1.0,212.0,2016,7,22,752.0
airport west,3,0,662000.0,3042.0,1.0,2.0,612.0,2016,3,23,752.0
airport west,4,0,978000.0,3042.0,3.0,2.0,532.0,2016,8,24,752.0
airport west,3,0,720000.0,3042.0,1.0,1.0,585.0,2017,1,25,752.0
airport west,4,0,765000.0,3042.0,1.0,2.0,509.0,2016,10,27,752.0
airport west,4,0,900000.0,3042.0,2.0,3.0,628.0,2016,10,27,752.0
albert park,2,0,1275000.0,3206.0,1.0,0.0,120.0,2016,2,9,546.0
albert park,2,0,1455000.0,3206.0,1.0,0.0,159.0,2016,2,9,546.0
albert park,3,0,2850000.0,3206.0,2.0,0.0,211.0,2017,3,3,546.0
albert park,3,0,1850000.0,3206.0,2.0,0.0,128.0,2017,3,3,546.0
albert park,2,0,1436000.0,3206.0,1.0,0.0,130.0,2017,3,3,546.0
albert park,2,0,1110000.0,3206.0,1.0,0.0,147.0,2016,5,8,546.0
albert park,2,0,1550000.0,3206.0,1.0,1.0,167.0,2016,6,5,546.0
albert park,4,0,2300000.0,3206.0,2.0,1.0,153.0,2016,6,5,546.0
albert park,3,2,1550000.0,3206.0,2.0,2.0,718.0,2016,6,11,546.0
albert park,3,0,1800000.0,3206.0,2.0,1.0,132.0,2016,6,11,546.0
albert park,2,0,2120000.0,3206.0,1.0,1.0,199.0,2016,9,9,546.0
albert park,3,0,1800000.0,3206.0,1.0,1.0,253.0,2016,9,9,546.0
